[671.44]  (NodeFactory.cpp,58) | Disabled nodes: SpacetimeScript, USBCamera
[673.26]  (main.cpp,131) | Processor threads count: 12
[673.29]  (main.cpp,139) | Screenberry2 v2.8.2 started
[673.31]  (main.cpp,140) | Commit: 68374d7830e5aa686f6bda4964ec0a55e9daaa2c.Ib66ad9cb6
[673.32]  (main.cpp,144) | Target system: MSVC64 DEMO
[673.34]  (main.cpp,145) | Compiler: Visual Studio 2019 version 16.8 or 16.9
[673.35]  (main.cpp,146) | Version date and time: Jun 30 2021 13:26:35
[673.46]  (main.cpp,151) | Executable modification time: 2021-06-30 10:30:20 UTC
[673.55]  (main.cpp,152) | Executable size: 8177112
[673.56]  (main.cpp,156) | Executable: "C:\Front Pictures\Screenberry 2.8.2 DEMO\Screenberry\Screenberry2.exe"
[673.57]  (main.cpp,163) | no arguments passed
[673.57]  (main.cpp,167) | Current time: 2021-08-22 21:07:58 UTC
[685.92]  (WindowsFirewall.cpp,635) | Adding this app to firewall trusted apps list: C:\Front Pictures\Screenberry 2.8.2 DEMO\Screenberry\Screenberry2.exe
[693.78]  (WindowsFirewall.cpp,268) | Authorized application C:\Front Pictures\Screenberry 2.8.2 DEMO\Screenberry\Screenberry2.exe is disabled in the firewall.
[697.10]  (WindowsFirewall.cpp,393) | ERROR: Add failed: 0x80070005
[697.14]  (WindowsFirewall.cpp,643) | WARNING: WindowsFirewallAddApp failed: 0x80070005
[697.23] NM (NetManager.cpp,293) | NetManager version NM210 (c) 2014-2018 Zibarov Volodymyr, Front Pictures LLC - All Rights Reserved
[697.24] NM (NetManager.cpp,296) | Instance created
[697.58]  (AppHost.cpp,616) | Adding font: Roboto-Medium.ttf
[702.13]  (AppHost.cpp,619) | Added font family: Roboto Medium
[704.63] Root (AppHost.cpp,1910) | Loading plugins...
[704.72] Root (PluginsLoader.cpp,26) | No plugins found
[704.73] Root (AppHost.cpp,146) | Loading config...
[708.32]  (mainUtils.cpp,81) | Channging current folder to: C:\Users\Blair\Documents\Screenberry\DemoProject
Moving log file to folder: C:\Users\Blair\Documents\Screenberry\DemoProject/Logs
[713.72] Root (AppHost.cpp,1082) | Config: DemoProject.xml
[713.73] Root (AppHost.cpp,1083) | Config folder: C:\Users\Blair\Documents\Screenberry\DemoProject
[713.74] Root (AppHost.cpp,1084) | Project name: DemoProject
[713.74] Root (AppHost.cpp,1085) | Backups folder: C:\Users\Blair\Documents\Screenberry\DemoProject/backups/
[720.18] Root (AppHost.cpp,515) | Server unique id: 9D65A75A
[720.20] Root (AppHost.cpp,163) | Getting GPU info...
[720.20]  (Canvas.cpp,1199) | Initializing temporary context to get GPU info
[873.12]  (Canvas.cpp,1243) | OpenGL renderer: GeForce GTX 660/PCIe/SSE2
[873.14]  (Canvas.cpp,1251) | Max texture size: 16384
[873.15]  (Canvas.cpp,1260) | Maximum OpenGL version is: 4.6
[873.16]  (Canvas.cpp,1268) | GL_MAX_ELEMENTS_INDICES = 1048576
[873.16]  (Canvas.cpp,1269) | GL_MAX_ELEMENTS_VERTICES = 1048576
[875.01]  (Canvas.cpp,1280) | Temporary context deinited
[875.01] Root (AppHost.cpp,541) | Creating service objects...
[909.38] Root (ContentManager.cpp,273) | ContentManager started.
[909.40] Root (ContentManager.cpp,1290) | Scanning for media list started
[909.72] Root (ContentManager.cpp,1297) | Found 1 media items
[1010.91] Root (ContentManager.cpp,1375) | Scanning for media list finished
