[677.85]  (NodeFactory.cpp,58) | Disabled nodes: SpacetimeScript, USBCamera
[679.66]  (main.cpp,131) | Processor threads count: 12
[679.69]  (main.cpp,139) | Screenberry2 v2.8.2 started
[679.71]  (main.cpp,140) | Commit: 68374d7830e5aa686f6bda4964ec0a55e9daaa2c.Ib66ad9cb6
[679.72]  (main.cpp,144) | Target system: MSVC64 DEMO
[679.73]  (main.cpp,145) | Compiler: Visual Studio 2019 version 16.8 or 16.9
[679.74]  (main.cpp,146) | Version date and time: Jun 30 2021 13:26:35
[679.85]  (main.cpp,151) | Executable modification time: 2021-06-30 10:30:20 UTC
[679.96]  (main.cpp,152) | Executable size: 8177112
[679.97]  (main.cpp,156) | Executable: "C:\Front Pictures\Screenberry 2.8.2 DEMO\Screenberry\Screenberry2.exe"
[679.98]  (main.cpp,163) | no arguments passed
[679.99]  (main.cpp,167) | Current time: 2021-08-25 09:47:07 UTC
[693.18]  (WindowsFirewall.cpp,635) | Adding this app to firewall trusted apps list: C:\Front Pictures\Screenberry 2.8.2 DEMO\Screenberry\Screenberry2.exe
[701.40]  (WindowsFirewall.cpp,268) | Authorized application C:\Front Pictures\Screenberry 2.8.2 DEMO\Screenberry\Screenberry2.exe is disabled in the firewall.
[704.98]  (WindowsFirewall.cpp,393) | ERROR: Add failed: 0x80070005
[705.02]  (WindowsFirewall.cpp,643) | WARNING: WindowsFirewallAddApp failed: 0x80070005
[705.12] NM (NetManager.cpp,293) | NetManager version NM210 (c) 2014-2018 Zibarov Volodymyr, Front Pictures LLC - All Rights Reserved
[705.12] NM (NetManager.cpp,296) | Instance created
[705.47]  (AppHost.cpp,616) | Adding font: Roboto-Medium.ttf
[710.12]  (AppHost.cpp,619) | Added font family: Roboto Medium
[712.62] Root (AppHost.cpp,1910) | Loading plugins...
[712.71] Root (PluginsLoader.cpp,26) | No plugins found
[712.72] Root (AppHost.cpp,146) | Loading config...
[716.47]  (mainUtils.cpp,81) | Channging current folder to: C:\Users\Blair\Documents\Screenberry\DemoProject
Moving log file to folder: C:\Users\Blair\Documents\Screenberry\DemoProject/Logs
[721.89] Root (AppHost.cpp,1082) | Config: DemoProject.xml
[721.90] Root (AppHost.cpp,1083) | Config folder: C:\Users\Blair\Documents\Screenberry\DemoProject
[721.91] Root (AppHost.cpp,1084) | Project name: DemoProject
[721.91] Root (AppHost.cpp,1085) | Backups folder: C:\Users\Blair\Documents\Screenberry\DemoProject/backups/
[729.59] Root (AppHost.cpp,515) | Server unique id: 9D65A75A
[729.60] Root (AppHost.cpp,163) | Getting GPU info...
[729.60]  (Canvas.cpp,1199) | Initializing temporary context to get GPU info
[926.74]  (Canvas.cpp,1243) | OpenGL renderer: GeForce GTX 660/PCIe/SSE2
[926.76]  (Canvas.cpp,1251) | Max texture size: 16384
[926.77]  (Canvas.cpp,1260) | Maximum OpenGL version is: 4.6
[926.78]  (Canvas.cpp,1268) | GL_MAX_ELEMENTS_INDICES = 1048576
[926.78]  (Canvas.cpp,1269) | GL_MAX_ELEMENTS_VERTICES = 1048576
[929.15]  (Canvas.cpp,1280) | Temporary context deinited
[929.15] Root (AppHost.cpp,541) | Creating service objects...
[957.50] Root (ContentManager.cpp,273) | ContentManager started.
[957.51] Root (ContentManager.cpp,1290) | Scanning for media list started
[957.79] Root (ContentManager.cpp,1297) | Found 1 media items
[1050.64] Root (ContentManager.cpp,1375) | Scanning for media list finished
[1050.73] Root (AppHost.cpp,551) | Init cluster system...
[1050.74] Root (ClusterSystemMaster.cpp,137) | Starting cluster sync sender...
[1050.93] Root (AppHost.cpp,174) | Initing nodes...
[1050.96] Root (ContentManager.cpp,1454) | Check map files started (1 items)
[1051.53] Root (ContentManager.cpp,1473) | Check map files finished
