[2957.93]  (NodeFactory.cpp,58) | Disabled nodes: SpacetimeScript, USBCamera
[2959.60]  (main.cpp,131) | Processor threads count: 12
[2959.63]  (main.cpp,139) | Screenberry2 v2.8.2 started
[2959.65]  (main.cpp,140) | Commit: 68374d7830e5aa686f6bda4964ec0a55e9daaa2c.Ib66ad9cb6
[2959.66]  (main.cpp,144) | Target system: MSVC64 DEMO
[2959.67]  (main.cpp,145) | Compiler: Visual Studio 2019 version 16.8 or 16.9
[2959.68]  (main.cpp,146) | Version date and time: Jun 30 2021 13:26:35
[2959.81]  (main.cpp,151) | Executable modification time: 2021-06-30 10:30:20 UTC
[2959.95]  (main.cpp,152) | Executable size: 8177112
[2959.96]  (main.cpp,156) | Executable: "C:\Front Pictures\Screenberry 2.8.2 DEMO\Screenberry\Screenberry2.exe"
[2959.97]  (main.cpp,163) | no arguments passed
[2959.97]  (main.cpp,167) | Current time: 2021-08-23 07:56:11 UTC
[2971.85]  (WindowsFirewall.cpp,635) | Adding this app to firewall trusted apps list: C:\Front Pictures\Screenberry 2.8.2 DEMO\Screenberry\Screenberry2.exe
[2981.28]  (WindowsFirewall.cpp,268) | Authorized application C:\Front Pictures\Screenberry 2.8.2 DEMO\Screenberry\Screenberry2.exe is disabled in the firewall.
[2985.46]  (WindowsFirewall.cpp,400) | Authorized application C:\Front Pictures\Screenberry 2.8.2 DEMO\Screenberry\Screenberry2.exe is now enabled in the firewall.
[2985.63] NM (NetManager.cpp,293) | NetManager version NM210 (c) 2014-2018 Zibarov Volodymyr, Front Pictures LLC - All Rights Reserved
[2985.64] NM (NetManager.cpp,296) | Instance created
[2986.04]  (AppHost.cpp,616) | Adding font: Roboto-Medium.ttf
[2993.20]  (AppHost.cpp,619) | Added font family: Roboto Medium
[2996.57] Root (AppHost.cpp,1910) | Loading plugins...
[2996.66] Root (PluginsLoader.cpp,26) | No plugins found
[2996.67] Root (AppHost.cpp,146) | Loading config...
[3001.61]  (mainUtils.cpp,81) | Channging current folder to: C:\Users\Blair\Documents\Screenberry\DemoProject
Moving log file to folder: C:\Users\Blair\Documents\Screenberry\DemoProject/Logs
[3007.79] Root (AppHost.cpp,1082) | Config: DemoProject.xml
[3007.80] Root (AppHost.cpp,1083) | Config folder: C:\Users\Blair\Documents\Screenberry\DemoProject
[3007.81] Root (AppHost.cpp,1084) | Project name: DemoProject
[3007.81] Root (AppHost.cpp,1085) | Backups folder: C:\Users\Blair\Documents\Screenberry\DemoProject/backups/
[3015.66] Root (AppHost.cpp,515) | Server unique id: 9D65A75A
[3015.67] Root (AppHost.cpp,163) | Getting GPU info...
[3015.67]  (Canvas.cpp,1199) | Initializing temporary context to get GPU info
[3190.03]  (Canvas.cpp,1243) | OpenGL renderer: GeForce GTX 660/PCIe/SSE2
[3190.03]  (Canvas.cpp,1251) | Max texture size: 16384
[3190.04]  (Canvas.cpp,1260) | Maximum OpenGL version is: 4.6
[3190.05]  (Canvas.cpp,1268) | GL_MAX_ELEMENTS_INDICES = 1048576
[3190.05]  (Canvas.cpp,1269) | GL_MAX_ELEMENTS_VERTICES = 1048576
[3192.58]  (Canvas.cpp,1280) | Temporary context deinited
[3192.60] Root (AppHost.cpp,541) | Creating service objects...
[3226.01] Root (ContentManager.cpp,273) | ContentManager started.
[3226.03] Root (ContentManager.cpp,1290) | Scanning for media list started
[3226.27] Root (ContentManager.cpp,1297) | Found 1 media items
[3349.26] Root (ContentManager.cpp,1375) | Scanning for media list finished
[3349.36] Root (AppHost.cpp,551) | Init cluster system...
[3349.36] Root (ClusterSystemMaster.cpp,137) | Starting cluster sync sender...
[3349.60] Root (AppHost.cpp,174) | Initing nodes...
[3349.64] Root (ContentManager.cpp,1454) | Check map files started (1 items)
[3350.50] Root (ContentManager.cpp,1473) | Check map files finished
[3363.30]  (AudioDevicesWatcher_win.cpp,147) | MMDeviceEnumerator created and MMNotificationClient registered
[3363.36] AudioOut1 (AudioProcessor.cpp,102) | FMOD DLL Version: 2.00.06
[3364.39] Root (AppHost.cpp,177) | Loading layout...
[3364.50] Root (AppHost.cpp,192) | AppHost init finished
[3364.92] Root (AppHost.cpp,633) | Elevated privileges: false
[3364.93]  (main.cpp,297) | WARNING: Server started without administrative privileges. Some functionality may not work.
[3364.93]  (WatchDogTimer.cpp,53) | Creating watchdog timer
[3365.26]  (NMHost.cpp,1463) | TCP/IP server started on port 45100
[3365.34]  (WatchDogTimer.cpp,87) | Watchdog timer thread started
[3367.36] NM (NetManager.cpp,2095) | ======================= Network interfaces:
[3367.38] NM (NetManager.cpp,2100) | ip:       127.0.0.1   mask:       255.0.0.0
[3367.39] NM (NetManager.cpp,2102) | =======================
[3367.49] NM_S0 (NetManager.cpp,417) | Server started on port 45100
[3368.10] NM_S0-Transfer (NMTransfer.cpp,729) | Transfer server is ready at port: 46100
[08:56:11.377] 1 2.49  (EndSessionHandler.cpp,91) | EndSessionHandlerWindow created
[08:56:11.377] 1 2.79 Root (Root.cpp,454) | Root/TimeCode inited
[08:56:11.377] 1 2.86 Root (Root.cpp,454) | Root/Int inited
[08:56:11.378] 1 4.20 Root/SplitTitleAuthor (ScreenberryJSEngine.cpp,74) | Compiling script file
[08:56:11.378] 1 4.27 Root (Root.cpp,454) | Root/SplitTitleAuthor inited
[08:56:11.380] 1 5.30 Root/IntAsJson (ScreenberryJSEngine.cpp,74) | Compiling script file
[08:56:11.380] 1 5.34 Root (Root.cpp,454) | Root/IntAsJson inited
[08:56:11.381] 1 6.30 Root/string as json 3 (ScreenberryJSEngine.cpp,74) | Compiling script file
[08:56:11.381] 1 6.34 Root (Root.cpp,454) | Root/string as json 3 inited
[08:56:11.381] 1 7.27 Root/string as json 2 (ScreenberryJSEngine.cpp,74) | Compiling script file
[08:56:11.382] 1 7.32 Root (Root.cpp,454) | Root/string as json 2 inited
[08:56:11.382] 1 7.35 Root/HttpListener (HttpListener.cpp,211) | HttpListener stopped
[08:56:11.382] 1 7.59  (NMUtils.cpp,248) | Tcp/Ip listener started at port: 8050
[08:56:11.382] 1 7.67 Root/HttpListener (HttpListener.cpp,201) | HTTP listener started at port: 8050
[08:56:11.382] 1 7.69 Root (Root.cpp,454) | Root/HttpListener inited
[08:56:11.384] 1 9.53  (PocoLib.cpp,540) | File(s) deleted recursively: NodesResources/Root_WebServer/img
[08:56:11.385] 1 10.72 Root/WebServer (WebServer.cpp,309) | Web Server started on port 8081
[08:56:11.385] 1 10.73 Root/WebServer (WebServer.cpp,313) | Initting WebPort...
[08:56:11.385] 1 10.74 Root (Root.cpp,454) | Root/WebServer inited
